loop_id;module;function_name;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
1;binary;main;02.dotprod.c:7-8;Innermost;99.88;0.71;0.71;0.71;0.71;0;1;
0;binary;main;02.dotprod.c:5-50;Outermost;0.12;0;0;0;0;0;1;
