Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0.71;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;_ALL;_ALL;0;100;0.71;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;3948;_ALL;0;100;0.71;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;3948;3948;0;100;0.71;0;0;0;0;0;0;0;0;
