Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0.68;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;_ALL;_ALL;0;100;0.68;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;4141;_ALL;0;100;0.68;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;4141;4141;0;100;0.68;0;0;0;0;0;0;0;0;
