Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;1.06;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;_ALL;_ALL;0;100;1.06;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;3848;_ALL;0;100;1.06;0;0;0;0;0;0;0;0;
m4ssi-ThinkPad-X240;3848;3848;0;100;1.06;0;0;0;0;0;0;0;0;
