function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
6;binary;dotprod;00.dotprod.c:4-9;99.98;4.14;4.14;4.14;4.14;0;1;
7;binary;fill_vector;00.dotprod.c:11-14;0.02;0;0;0;0;0;1;
